movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,region,director_name,director_profession,release_date,production_budget,domestic_gross,worldwide_gross
tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248.0,FI,Lawrence Kasanoff,"producer,writer,director","Dec 31, 2012","$45,000,000",$0,"$73,706"
tt0339736,The Evil Within,The Evil Within,2017,98.0,Horror,5.6,2420.0,US,Andrew Getty,"director,writer","Oct 10, 2014","$3,300,000","$13,092,006","$38,969,037"
tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106.0,US,Jerome Elston Scott,"actor,director,writer","Dec 31, 2010","$300,000",$0,$0
tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701.0,HR,Steven Spielberg,"producer,writer,director","Nov 9, 2012","$65,000,000","$182,207,973","$273,346,281"
tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836.0,Unknown,Ang Lee,"director,producer,writer","Nov 21, 2012","$120,000,000","$124,987,022","$620,912,003"
tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"Horror,Thriller",6.5,331.0,US,David Worth,"cinematographer,director,assistant_director","Dec 31, 2014","$1,400,000",$0,$0
tt0466893,Margaret,Margaret,2011,150.0,Drama,6.5,14708.0,ES,Kenneth Lonergan,"writer,actor,director","Sep 30, 2011","$14,000,000","$47,185","$623,292"
tt0470752,Ex Machina,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542.0,DE,Alex Garland,"writer,producer,director","Apr 10, 2015","$13,000,000","$25,440,971","$38,358,392"
tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254.0,Unknown,Simon West,"producer,director,actor","Jan 28, 2011","$42,500,000","$29,121,498","$76,347,393"
tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815.0,US,Anthony Hemingway,"director,producer,assistant_director","Jan 20, 2012","$58,000,000","$49,876,377","$50,365,498"
tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314.0,US,Luke Greenfield,"director,producer,writer","May 6, 2011","$35,000,000","$39,046,489","$65,084,116"
tt0775489,The Illusionist,L'illusionniste,2010,80.0,"Animation,Drama",7.5,31734.0,GB,Sylvain Chomet,"director,writer,animation_department","Aug 18, 2006","$16,500,000","$39,868,642","$83,792,062"
